nb_cons,nb_prod,nb threads,Mesure i,time
1,1,1,1,0:00.27
1,1,1,2,0:00.27
1,1,1,3,0:00.28
1,1,1,4,0:00.28
1,1,1,5,0:00.27
2,1,1,1,0:00.40
2,1,1,2,0:00.46
2,1,1,3,0:00.32
2,1,1,4,0:00.44
2,1,1,5,0:00.32
2,2,1,1,0:00.20
2,2,1,2,0:00.15
2,2,1,3,0:00.16
2,2,1,4,0:00.17
2,2,1,5,0:00.15
3,2,1,1,0:00.27
3,2,1,2,0:00.26
3,2,1,3,0:00.26
3,2,1,4,0:00.28
3,2,1,5,0:00.28
3,3,1,1,0:00.22
3,3,1,2,0:00.21
3,3,1,3,0:00.21
3,3,1,4,0:00.19
3,3,1,5,0:00.17
4,3,1,1,0:00.20
4,3,1,2,0:00.23
4,3,1,3,0:00.21
4,3,1,4,0:00.23
4,3,1,5,0:00.19
4,4,1,1,0:00.15
4,4,1,2,0:00.16
4,4,1,3,0:00.18
4,4,1,4,0:00.18
4,4,1,5,0:00.18
5,4,1,1,0:00.21
5,4,1,2,0:00.20
5,4,1,3,0:00.20
5,4,1,4,0:00.20
5,4,1,5,0:00.19
5,5,1,1,0:00.17
5,5,1,2,0:00.18
5,5,1,3,0:00.19
5,5,1,4,0:00.17
5,5,1,5,0:00.20
6,5,1,1,0:00.17
6,5,1,2,0:00.20
6,5,1,3,0:00.18
6,5,1,4,0:00.18
6,5,1,5,0:00.20
6,6,1,1,0:00.19
6,6,1,2,0:00.17
6,6,1,3,0:00.18
6,6,1,4,0:00.18
6,6,1,5,0:00.19
7,6,1,1,0:00.18
7,6,1,2,0:00.18
7,6,1,3,0:00.20
7,6,1,4,0:00.20
7,6,1,5,0:00.22
7,7,1,1,0:00.18
7,7,1,2,0:00.18
7,7,1,3,0:00.40
7,7,1,4,0:00.39
7,7,1,5,0:00.17
8,7,1,1,0:00.19
8,7,1,2,0:00.19
8,7,1,3,0:00.19
8,7,1,4,0:00.18
8,7,1,5,0:00.19
8,8,1,1,0:00.18
8,8,1,2,0:00.19
8,8,1,3,0:00.17
8,8,1,4,0:00.19
8,8,1,5,0:00.19
9,8,1,1,0:00.19
9,8,1,2,0:00.20
9,8,1,3,0:00.20
9,8,1,4,0:00.20
9,8,1,5,0:00.18
9,9,1,1,0:00.17
9,9,1,2,0:00.19
9,9,1,3,0:00.19
9,9,1,4,0:00.18
9,9,1,5,0:00.20
10,9,1,1,0:00.19
10,9,1,2,0:00.19
10,9,1,3,0:00.19
10,9,1,4,0:00.19
10,9,1,5,0:00.19
10,10,1,1,0:00.20
10,10,1,2,0:00.19
10,10,1,3,0:00.19
10,10,1,4,0:00.20
10,10,1,5,0:00.19
11,10,1,1,0:00.19
11,10,1,2,0:00.20
11,10,1,3,0:00.20
11,10,1,4,0:00.19
11,10,1,5,0:00.20
11,11,1,1,0:00.19
11,11,1,2,0:00.19
11,11,1,3,0:00.20
11,11,1,4,0:00.22
11,11,1,5,0:00.19
12,11,1,1,0:00.20
12,11,1,2,0:00.20
12,11,1,3,0:00.18
12,11,1,4,0:00.21
12,11,1,5,0:00.19
12,12,1,1,0:00.19
12,12,1,2,0:00.19
12,12,1,3,0:00.19
12,12,1,4,0:00.18
12,12,1,5,0:00.19
13,12,1,1,0:00.19
13,12,1,2,0:00.19
13,12,1,3,0:00.19
13,12,1,4,0:00.20
13,12,1,5,0:00.19
13,13,1,1,0:00.18
13,13,1,2,0:00.19
13,13,1,3,0:00.19
13,13,1,4,0:00.19
13,13,1,5,0:00.19
14,13,1,1,0:00.19
14,13,1,2,0:00.20
14,13,1,3,0:00.19
14,13,1,4,0:00.18
14,13,1,5,0:00.19
14,14,1,1,0:00.19
14,14,1,2,0:00.19
14,14,1,3,0:00.18
14,14,1,4,0:00.19
14,14,1,5,0:00.19
15,14,1,1,0:00.19
15,14,1,2,0:00.28
15,14,1,3,0:00.20
15,14,1,4,0:00.19
15,14,1,5,0:00.21
15,15,1,1,0:00.19
15,15,1,2,0:00.19
15,15,1,3,0:00.20
15,15,1,4,0:00.20
15,15,1,5,0:00.18
16,15,1,1,0:00.19
16,15,1,2,0:00.20
16,15,1,3,0:00.19
16,15,1,4,0:00.19
16,15,1,5,0:00.19
16,16,1,1,0:00.20
16,16,1,2,0:00.18
16,16,1,3,0:00.19
16,16,1,4,0:00.20
16,16,1,5,0:00.20
17,16,1,1,0:00.19
17,16,1,2,0:00.19
17,16,1,3,0:00.19
17,16,1,4,0:00.19
17,16,1,5,0:00.19
17,17,1,1,0:00.19
17,17,1,2,0:00.19
17,17,1,3,0:00.19
17,17,1,4,0:00.18
17,17,1,5,0:00.19
18,17,1,1,0:00.19
18,17,1,2,0:00.19
18,17,1,3,0:00.19
18,17,1,4,0:00.19
18,17,1,5,0:00.19
18,18,1,1,0:00.18
18,18,1,2,0:00.19
18,18,1,3,0:00.19
18,18,1,4,0:00.19
18,18,1,5,0:00.19
19,18,1,1,0:00.19
19,18,1,2,0:00.18
19,18,1,3,0:00.19
19,18,1,4,0:00.19
19,18,1,5,0:00.19
19,19,1,1,0:00.19
19,19,1,2,0:00.19
19,19,1,3,0:00.19
19,19,1,4,0:00.19
19,19,1,5,0:00.19
20,19,1,1,0:00.19
20,19,1,2,0:00.18
20,19,1,3,0:00.18
20,19,1,4,0:00.19
20,19,1,5,0:00.20
20,20,1,1,0:00.19
20,20,1,2,0:00.19
20,20,1,3,0:00.19
20,20,1,4,0:00.19
20,20,1,5,0:00.19
21,20,1,1,0:00.19
21,20,1,2,0:00.19
21,20,1,3,0:00.19
21,20,1,4,0:00.19
21,20,1,5,0:00.19
21,21,1,1,0:00.19
21,21,1,2,0:00.19
21,21,1,3,0:00.19
21,21,1,4,0:00.20
21,21,1,5,0:00.19
22,21,1,1,0:00.20
22,21,1,2,0:00.19
22,21,1,3,0:00.18
22,21,1,4,0:00.19
22,21,1,5,0:00.19
22,22,1,1,0:00.20
22,22,1,2,0:00.19
22,22,1,3,0:00.18
22,22,1,4,0:00.20
22,22,1,5,0:00.19
23,22,1,1,0:00.20
23,22,1,2,0:00.19
23,22,1,3,0:00.21
23,22,1,4,0:00.19
23,22,1,5,0:00.19
23,23,1,1,0:00.29
23,23,1,2,0:00.19
23,23,1,3,0:00.19
23,23,1,4,0:00.21
23,23,1,5,0:00.18
24,23,1,1,0:00.19
24,23,1,2,0:00.19
24,23,1,3,0:00.19
24,23,1,4,0:00.20
24,23,1,5,0:00.18
24,24,1,1,0:00.19
24,24,1,2,0:00.19
24,24,1,3,0:00.18
24,24,1,4,0:00.19
24,24,1,5,0:00.19
25,24,1,1,0:00.19
25,24,1,2,0:00.23
25,24,1,3,0:00.19
25,24,1,4,0:00.18
25,24,1,5,0:00.20
25,25,1,1,0:00.20
25,25,1,2,0:00.20
25,25,1,3,0:00.18
25,25,1,4,0:00.19
25,25,1,5,0:00.19
26,25,1,1,0:00.19
26,25,1,2,0:00.19
26,25,1,3,0:00.18
26,25,1,4,0:00.19
26,25,1,5,0:00.19
26,26,1,1,0:00.19
26,26,1,2,0:00.19
26,26,1,3,0:00.20
26,26,1,4,0:00.19
26,26,1,5,0:00.19
27,26,1,1,0:00.19
27,26,1,2,0:00.19
27,26,1,3,0:00.18
27,26,1,4,0:00.19
27,26,1,5,0:00.19
27,27,1,1,0:00.19
27,27,1,2,0:00.19
27,27,1,3,0:00.20
27,27,1,4,0:00.19
27,27,1,5,0:00.20
28,27,1,1,0:00.20
28,27,1,2,0:00.21
28,27,1,3,0:00.19
28,27,1,4,0:00.19
28,27,1,5,0:00.19
28,28,1,1,0:00.19
28,28,1,2,0:00.19
28,28,1,3,0:00.20
28,28,1,4,0:00.19
28,28,1,5,0:00.19
29,28,1,1,0:00.19
29,28,1,2,0:00.19
29,28,1,3,0:00.19
29,28,1,4,0:00.19
29,28,1,5,0:00.19
29,29,1,1,0:00.19
29,29,1,2,0:00.20
29,29,1,3,0:00.19
29,29,1,4,0:00.18
29,29,1,5,0:00.20
30,29,1,1,0:00.19
30,29,1,2,0:00.19
30,29,1,3,0:00.19
30,29,1,4,0:00.19
30,29,1,5,0:00.19
30,30,1,1,0:00.19
30,30,1,2,0:00.19
30,30,1,3,0:00.19
30,30,1,4,0:00.19
30,30,1,5,0:00.19
31,30,1,1,0:00.18
31,30,1,2,0:00.19
31,30,1,3,0:00.19
31,30,1,4,0:00.19
31,30,1,5,0:00.19
31,31,1,1,0:00.19
31,31,1,2,0:00.20
31,31,1,3,0:00.19
31,31,1,4,0:00.19
31,31,1,5,0:00.20
32,31,1,1,0:00.19
32,31,1,2,0:00.18
32,31,1,3,0:00.20
32,31,1,4,0:00.19
32,31,1,5,0:00.20
32,32,1,1,0:00.20
32,32,1,2,0:00.19
32,32,1,3,0:00.19
32,32,1,4,0:00.20
32,32,1,5,0:00.20
1,1,2,1,0:00.28
1,1,2,2,0:00.27
1,1,2,3,0:00.27
1,1,2,4,0:00.27
1,1,2,5,0:00.28
2,1,2,1,0:00.46
2,1,2,2,0:00.32
2,1,2,3,0:00.32
2,1,2,4,0:00.32
2,1,2,5,0:00.35
2,2,2,1,0:00.18
2,2,2,2,0:00.15
2,2,2,3,0:00.18
2,2,2,4,0:00.18
2,2,2,5,0:00.14
3,2,2,1,0:00.28
3,2,2,2,0:00.26
3,2,2,3,0:00.28
3,2,2,4,0:00.29
3,2,2,5,0:00.22
3,3,2,1,0:00.23
3,3,2,2,0:00.22
3,3,2,3,0:00.21
3,3,2,4,0:00.15
3,3,2,5,0:00.21
4,3,2,1,0:00.24
4,3,2,2,0:00.19
4,3,2,3,0:00.19
4,3,2,4,0:00.22
4,3,2,5,0:00.19
4,4,2,1,0:00.19
4,4,2,2,0:00.15
4,4,2,3,0:00.20
4,4,2,4,0:00.15
4,4,2,5,0:00.16
5,4,2,1,0:00.19
5,4,2,2,0:00.20
5,4,2,3,0:00.23
5,4,2,4,0:00.19
5,4,2,5,0:00.19
5,5,2,1,0:00.17
5,5,2,2,0:00.18
5,5,2,3,0:00.17
5,5,2,4,0:00.19
5,5,2,5,0:00.19
6,5,2,1,0:00.17
6,5,2,2,0:00.20
6,5,2,3,0:00.20
6,5,2,4,0:00.20
6,5,2,5,0:00.21
6,6,2,1,0:00.18
6,6,2,2,0:00.19
6,6,2,3,0:00.16
6,6,2,4,0:00.20
6,6,2,5,0:00.17
7,6,2,1,0:00.19
7,6,2,2,0:00.20
7,6,2,3,0:00.20
7,6,2,4,0:00.19
7,6,2,5,0:00.21
7,7,2,1,0:00.19
7,7,2,2,0:00.18
7,7,2,3,0:00.17
7,7,2,4,0:00.19
7,7,2,5,0:00.17
8,7,2,1,0:00.19
8,7,2,2,0:00.20
8,7,2,3,0:00.20
8,7,2,4,0:00.19
8,7,2,5,0:00.20
8,8,2,1,0:00.19
8,8,2,2,0:00.17
8,8,2,3,0:00.18
8,8,2,4,0:00.18
8,8,2,5,0:00.18
9,8,2,1,0:00.19
9,8,2,2,0:00.20
9,8,2,3,0:00.18
9,8,2,4,0:00.19
9,8,2,5,0:00.19
9,9,2,1,0:00.20
9,9,2,2,0:00.18
9,9,2,3,0:00.19
9,9,2,4,0:00.18
9,9,2,5,0:00.18
10,9,2,1,0:00.19
10,9,2,2,0:00.19
10,9,2,3,0:00.17
10,9,2,4,0:00.21
10,9,2,5,0:00.19
10,10,2,1,0:00.18
10,10,2,2,0:00.19
10,10,2,3,0:00.20
10,10,2,4,0:00.16
10,10,2,5,0:00.20
11,10,2,1,0:00.22
11,10,2,2,0:00.20
11,10,2,3,0:00.20
11,10,2,4,0:00.20
11,10,2,5,0:00.19
11,11,2,1,0:00.19
11,11,2,2,0:00.19
11,11,2,3,0:00.19
11,11,2,4,0:00.19
11,11,2,5,0:00.19
12,11,2,1,0:00.20
12,11,2,2,0:00.20
12,11,2,3,0:00.20
12,11,2,4,0:00.19
12,11,2,5,0:00.19
12,12,2,1,0:00.19
12,12,2,2,0:00.18
12,12,2,3,0:00.19
12,12,2,4,0:00.19
12,12,2,5,0:00.19
13,12,2,1,0:00.19
13,12,2,2,0:00.19
13,12,2,3,0:00.19
13,12,2,4,0:00.19
13,12,2,5,0:00.20
13,13,2,1,0:00.19
13,13,2,2,0:00.19
13,13,2,3,0:00.19
13,13,2,4,0:00.18
13,13,2,5,0:00.19
14,13,2,1,0:00.20
14,13,2,2,0:00.20
14,13,2,3,0:00.20
14,13,2,4,0:00.20
14,13,2,5,0:00.19
14,14,2,1,0:00.20
14,14,2,2,0:00.19
14,14,2,3,0:00.20
14,14,2,4,0:00.19
14,14,2,5,0:00.19
15,14,2,1,0:00.19
15,14,2,2,0:00.19
15,14,2,3,0:00.19
15,14,2,4,0:00.19
15,14,2,5,0:00.19
15,15,2,1,0:00.20
15,15,2,2,0:00.20
15,15,2,3,0:00.19
15,15,2,4,0:00.19
15,15,2,5,0:00.20
16,15,2,1,0:00.19
16,15,2,2,0:00.20
16,15,2,3,0:00.19
16,15,2,4,0:00.19
16,15,2,5,0:00.20
16,16,2,1,0:00.18
16,16,2,2,0:00.20
16,16,2,3,0:00.19
16,16,2,4,0:00.19
16,16,2,5,0:00.19
17,16,2,1,0:00.19
17,16,2,2,0:00.20
17,16,2,3,0:00.19
17,16,2,4,0:00.20
17,16,2,5,0:00.19
17,17,2,1,0:00.18
17,17,2,2,0:00.19
17,17,2,3,0:00.19
17,17,2,4,0:00.20
17,17,2,5,0:00.20
