nb_reader,nb_writer,nb threads,Mesure i,time
1,1,1,1,0.07
1,1,1,2,0.06
1,1,1,3,0.06
1,1,1,4,0.06
1,1,1,5,0.06
2,1,1,1,0.06
2,1,1,2,0.06
2,1,1,3,0.07
2,1,1,4,0.06
2,1,1,5,0.06
2,2,1,1,0.04
2,2,1,2,0.04
2,2,1,3,0.05
2,2,1,4,0.04
2,2,1,5,0.04
3,2,1,1,0.04
3,2,1,2,0.06
3,2,1,3,0.04
3,2,1,4,0.05
3,2,1,5,0.04
3,3,1,1,0.03
3,3,1,2,0.03
3,3,1,3,0.04
3,3,1,4,0.03
3,3,1,5,0.03
4,3,1,1,0.03
4,3,1,2,0.04
4,3,1,3,0.03
4,3,1,4,0.04
4,3,1,5,0.03
4,4,1,1,0.04
4,4,1,2,0.03
4,4,1,3,0.04
4,4,1,4,0.04
4,4,1,5,0.03
5,4,1,1,0.04
5,4,1,2,0.03
5,4,1,3,0.03
5,4,1,4,0.03
5,4,1,5,0.03
5,5,1,1,0.03
5,5,1,2,0.03
5,5,1,3,0.03
5,5,1,4,0.03
5,5,1,5,0.03
6,5,1,1,0.04
6,5,1,2,0.03
6,5,1,3,0.03
6,5,1,4,0.03
6,5,1,5,0.03
6,6,1,1,0.03
6,6,1,2,0.03
6,6,1,3,0.03
6,6,1,4,0.03
6,6,1,5,0.03
7,6,1,1,0.03
7,6,1,2,0.03
7,6,1,3,0.03
7,6,1,4,0.03
7,6,1,5,0.03
7,7,1,1,0.03
7,7,1,2,0.03
7,7,1,3,0.03
7,7,1,4,0.03
7,7,1,5,0.03
8,7,1,1,0.03
8,7,1,2,0.04
8,7,1,3,0.03
8,7,1,4,0.03
8,7,1,5,0.03
8,8,1,1,0.03
8,8,1,2,0.03
8,8,1,3,0.03
8,8,1,4,0.03
8,8,1,5,0.03
9,8,1,1,0.03
9,8,1,2,0.03
9,8,1,3,0.03
9,8,1,4,0.03
9,8,1,5,0.03
9,9,1,1,0.03
9,9,1,2,0.03
9,9,1,3,0.03
9,9,1,4,0.03
9,9,1,5,0.03
10,9,1,1,0.03
10,9,1,2,0.03
10,9,1,3,0.04
10,9,1,4,0.03
10,9,1,5,0.03
10,10,1,1,0.04
10,10,1,2,0.03
10,10,1,3,0.03
10,10,1,4,0.03
10,10,1,5,0.03
11,10,1,1,0.03
11,10,1,2,0.04
11,10,1,3,0.03
11,10,1,4,0.03
11,10,1,5,0.03
11,11,1,1,0.03
11,11,1,2,0.03
11,11,1,3,0.03
11,11,1,4,0.03
11,11,1,5,0.03
12,11,1,1,0.03
12,11,1,2,0.04
12,11,1,3,0.04
12,11,1,4,0.03
12,11,1,5,0.04
12,12,1,1,0.03
12,12,1,2,0.03
12,12,1,3,0.03
12,12,1,4,0.03
12,12,1,5,0.03
13,12,1,1,0.03
13,12,1,2,0.03
13,12,1,3,0.03
13,12,1,4,0.03
13,12,1,5,0.03
13,13,1,1,0.03
13,13,1,2,0.03
13,13,1,3,0.03
