nb threads,measure i,time
1,1,0.33
1,2,0.36
1,3,0.37
1,4,0.38
1,5,0.20
1,6,0.34
1,7,0.36
1,8,0.37
1,9,0.37
1,10,0.42
2,1,0.42
2,2,0.40
2,3,0.42
2,4,0.36
2,5,0.37
2,6,0.37
2,7,0.42
2,8,0.42
2,9,0.42
2,10,0.42
4,1,0.33
4,2,0.40
4,3,0.39
4,4,0.43
4,5,0.42
4,6,0.43
4,7,0.42
4,8,0.42
4,9,0.40
4,10,0.39
8,1,0.42
8,2,0.43
8,3,0.40
8,4,0.42
8,5,0.43
8,6,0.37
8,7,0.34
8,8,0.43
8,9,0.37
8,10,0.40
16,1,0.41
16,2,0.39
16,3,0.38
16,4,0.36
16,5,0.37
16,6,0.37
16,7,0.42
16,8,0.40
16,9,0.39
16,10,0.39
32,1,0.38
32,2,0.39
32,3,0.37
32,4,0.39
32,5,0.37
32,6,0.37
32,7,0.36
32,8,0.37
32,9,0.38
32,10,0.37
64,1,0.42
64,2,0.39
64,3,0.46
64,4,0.39
64,5,0.42
64,6,0.40
64,7,0.42
64,8,0.45
64,9,0.48
64,10,0.45
