nb philosophs,nb threads,Mesure i,time
1,1,1,0.02
1,1,2,0.02
1,1,3,0.02
1,1,4,0.02
1,1,5,0.02
1,1,6,0.02
1,1,7,0.02
1,1,8,0.02
1,1,9,0.02
1,1,10,0.02
2,2,1,0.08
2,2,2,0.10
2,2,3,0.08
2,2,4,0.07
2,2,5,0.08
2,2,6,0.09
2,2,7,0.08
2,2,8,0.07
2,2,9,0.08
2,2,10,0.07
4,4,1,0.27
4,4,2,0.25
4,4,3,0.24
4,4,4,0.23
4,4,5,0.25
4,4,6,0.25
4,4,7,0.25
4,4,8,0.25
4,4,9,0.24
4,4,10,0.24
8,8,1,0.37
8,8,2,0.40
8,8,3,0.36
8,8,4,0.38
8,8,5,0.36
8,8,6,0.36
8,8,7,0.36
8,8,8,0.34
8,8,9,0.36
8,8,10,0.29
16,16,1,0.52
16,16,2,0.44
16,16,3,0.46
16,16,4,0.46
16,16,5,0.44
16,16,6,0.48
16,16,7,0.48
16,16,8,0.44
16,16,9,0.50
16,16,10,0.54
32,32,1,0.75
32,32,2,0.86
32,32,3,0.84
32,32,4,0.82
32,32,5,0.81
32,32,6,0.85
32,32,7,0.92
32,32,8,0.77
32,32,9,0.82
32,32,10,0.83
64,64,1,1.66
64,64,2,1.60
64,64,3,1.53
64,64,4,1.50
64,64,5,1.59
64,64,6,1.54
64,64,7,1.51
64,64,8,1.53
64,64,9,1.60
64,64,10,1.57
