nb_cons,nb_prod,nb threads,Mesure i,time
1,1,2,1,0.55
1,1,2,2,0.52
1,1,2,3,0.45
1,1,2,4,0.46
1,1,2,5,0.47
1,1,2,6,0.55
1,1,2,7,0.56
1,1,2,8,0.55
1,1,2,9,0.55
1,1,2,10,0.56
2,2,4,1,0.28
2,2,4,2,0.27
2,2,4,3,0.27
2,2,4,4,0.27
2,2,4,5,0.28
2,2,4,6,0.28
2,2,4,7,0.27
2,2,4,8,0.27
2,2,4,9,0.27
2,2,4,10,0.28
4,4,8,1,0.14
4,4,8,2,0.14
4,4,8,3,0.14
4,4,8,4,0.14
4,4,8,5,0.14
4,4,8,6,0.14
4,4,8,7,0.14
4,4,8,8,0.14
4,4,8,9,0.14
4,4,8,10,0.14
8,8,16,1,0.08
8,8,16,2,0.13
8,8,16,3,0.08
8,8,16,4,0.12
8,8,16,5,0.11
8,8,16,6,0.08
8,8,16,7,0.11
8,8,16,8,0.09
8,8,16,9,0.09
8,8,16,10,0.10
16,16,32,1,0.06
16,16,32,2,0.08
16,16,32,3,0.06
16,16,32,4,0.06
16,16,32,5,0.07
16,16,32,6,0.06
16,16,32,7,0.07
16,16,32,8,0.08
16,16,32,9,0.07
16,16,32,10,0.07
32,32,64,1,0.05
32,32,64,2,0.06
32,32,64,3,0.05
32,32,64,4,0.05
32,32,64,5,0.06
32,32,64,6,0.05
32,32,64,7,0.05
32,32,64,8,0.05
32,32,64,9,0.06
32,32,64,10,0.06
