nb_reader,nb_writer,nb threads,Mesure i,time
1,1,2,1,0.11
1,1,2,2,0.11
1,1,2,3,0.11
1,1,2,4,0.11
1,1,2,5,0.11
1,1,2,6,0.12
1,1,2,7,0.11
1,1,2,8,0.11
1,1,2,9,0.12
1,1,2,10,0.11
1,1,2,11,0.11
1,1,2,12,0.11
1,1,2,13,0.11
1,1,2,14,0.11
1,1,2,15,0.11
1,1,2,16,0.11
1,1,2,17,0.11
1,1,2,18,0.11
1,1,2,19,0.11
1,1,2,20,0.11
1,1,2,21,0.11
1,1,2,22,0.11
1,1,2,23,0.11
1,1,2,24,0.11
1,1,2,25,0.11
1,1,2,26,0.11
1,1,2,27,0.11
1,1,2,28,0.11
1,1,2,29,0.11
1,1,2,30,0.11
1,1,2,31,0.11
1,1,2,32,0.19
1,1,2,33,0.11
1,1,2,34,0.10
1,1,2,35,0.09
1,1,2,36,0.08
1,1,2,37,0.08
1,1,2,38,0.09
1,1,2,39,0.08
1,1,2,40,0.08
1,1,2,41,0.08
1,1,2,42,0.08
1,1,2,43,0.08
1,1,2,44,0.08
1,1,2,45,0.08
1,1,2,46,0.08
1,1,2,47,0.08
1,1,2,48,0.08
1,1,2,49,0.08
1,1,2,50,0.08
1,1,2,51,0.08
1,1,2,52,0.08
1,1,2,53,0.09
1,1,2,54,0.09
1,1,2,55,0.08
1,1,2,56,0.08
1,1,2,57,0.08
1,1,2,58,0.08
1,1,2,59,0.08
1,1,2,60,0.08
1,1,2,61,0.08
1,1,2,62,0.08
1,1,2,63,0.08
1,1,2,64,0.08
1,1,2,65,0.08
1,1,2,66,0.08
1,1,2,67,0.11
1,1,2,68,0.13
1,1,2,69,0.11
1,1,2,70,0.12
1,1,2,71,0.11
1,1,2,72,0.11
1,1,2,73,0.11
1,1,2,74,0.11
1,1,2,75,0.11
1,1,2,76,0.11
1,1,2,77,0.11
1,1,2,78,0.11
1,1,2,79,0.17
1,1,2,80,0.11
1,1,2,81,0.10
1,1,2,82,0.09
1,1,2,83,0.08
1,1,2,84,0.08
1,1,2,85,0.08
1,1,2,86,0.08
1,1,2,87,0.08
1,1,2,88,0.08
1,1,2,89,0.08
1,1,2,90,0.08
1,1,2,91,0.08
1,1,2,92,0.08
1,1,2,93,0.08
1,1,2,94,0.08
1,1,2,95,0.09
1,1,2,96,0.08
1,1,2,97,0.08
1,1,2,98,0.10
1,1,2,99,0.09
1,1,2,100,0.09
2,2,4,1,0.05
2,2,4,2,0.05
2,2,4,3,0.05
2,2,4,4,0.05
2,2,4,5,0.05
2,2,4,6,0.05
2,2,4,7,0.05
2,2,4,8,0.05
2,2,4,9,0.05
2,2,4,10,0.05
2,2,4,11,0.05
2,2,4,12,0.05
2,2,4,13,0.05
2,2,4,14,0.05
2,2,4,15,0.05
2,2,4,16,0.05
2,2,4,17,0.05
2,2,4,18,0.05
2,2,4,19,0.05
2,2,4,20,0.05
2,2,4,21,0.05
2,2,4,22,0.05
2,2,4,23,0.05
2,2,4,24,0.05
2,2,4,25,0.05
2,2,4,26,0.05
2,2,4,27,0.05
2,2,4,28,0.05
2,2,4,29,0.05
2,2,4,30,0.05
2,2,4,31,0.06
2,2,4,32,0.07
2,2,4,33,0.06
2,2,4,34,0.07
2,2,4,35,0.06
2,2,4,36,0.06
2,2,4,37,0.05
2,2,4,38,0.05
2,2,4,39,0.05
2,2,4,40,0.05
2,2,4,41,0.08
2,2,4,42,0.05
2,2,4,43,0.05
2,2,4,44,0.05
2,2,4,45,0.09
2,2,4,46,0.05
2,2,4,47,0.05
2,2,4,48,0.05
2,2,4,49,0.05
2,2,4,50,0.05
2,2,4,51,0.05
2,2,4,52,0.05
2,2,4,53,0.05
2,2,4,54,0.05
2,2,4,55,0.05
2,2,4,56,0.05
2,2,4,57,0.05
2,2,4,58,0.05
2,2,4,59,0.05
2,2,4,60,0.05
2,2,4,61,0.05
2,2,4,62,0.05
2,2,4,63,0.05
2,2,4,64,0.05
2,2,4,65,0.05
2,2,4,66,0.05
2,2,4,67,0.05
2,2,4,68,0.05
2,2,4,69,0.05
2,2,4,70,0.05
2,2,4,71,0.05
2,2,4,72,0.05
2,2,4,73,0.05
2,2,4,74,0.05
2,2,4,75,0.05
2,2,4,76,0.05
2,2,4,77,0.05
2,2,4,78,0.05
2,2,4,79,0.05
2,2,4,80,0.05
2,2,4,81,0.05
2,2,4,82,0.05
2,2,4,83,0.05
2,2,4,84,0.05
2,2,4,85,0.05
2,2,4,86,0.05
2,2,4,87,0.05
2,2,4,88,0.05
2,2,4,89,0.05
2,2,4,90,0.05
2,2,4,91,0.05
2,2,4,92,0.05
2,2,4,93,0.05
2,2,4,94,0.05
2,2,4,95,0.05
2,2,4,96,0.05
2,2,4,97,0.05
2,2,4,98,0.05
2,2,4,99,0.05
2,2,4,100,0.05
4,4,8,1,0.03
4,4,8,2,0.04
4,4,8,3,0.04
4,4,8,4,0.04
4,4,8,5,0.03
4,4,8,6,0.04
4,4,8,7,0.04
4,4,8,8,0.03
4,4,8,9,0.04
4,4,8,10,0.04
4,4,8,11,0.04
