nb_reader,nb_writer,nb threads,Mesure i,time
1,1,2,1,0.21
1,1,2,2,0.21
1,1,2,3,0.22
1,1,2,4,0.22
1,1,2,5,0.21
1,1,2,6,0.22
1,1,2,7,0.12
1,1,2,8,0.20
1,1,2,9,0.21
1,1,2,10,0.19
2,2,4,1,0.12
2,2,4,2,0.13
2,2,4,3,0.12
2,2,4,4,0.13
2,2,4,5,0.12
2,2,4,6,0.13
2,2,4,7,0.13
2,2,4,8,0.13
2,2,4,9,0.12
2,2,4,10,0.13
4,4,8,1,0.08
4,4,8,2,0.09
4,4,8,3,0.08
4,4,8,4,0.09
4,4,8,5,0.08
4,4,8,6,0.08
4,4,8,7,0.08
4,4,8,8,0.09
4,4,8,9,0.09
4,4,8,10,0.09
8,8,16,1,0.07
8,8,16,2,0.06
8,8,16,3,0.07
8,8,16,4,0.07
8,8,16,5,0.06
8,8,16,6,0.06
8,8,16,7,0.07
8,8,16,8,0.06
8,8,16,9,0.06
8,8,16,10,0.06
16,16,32,1,0.08
16,16,32,2,0.08
16,16,32,3,0.07
16,16,32,4,0.07
16,16,32,5,0.08
16,16,32,6,0.07
16,16,32,7,0.08
16,16,32,8,0.07
16,16,32,9,0.08
16,16,32,10,0.08
32,32,64,1,2.12
32,32,64,2,1.35
32,32,64,3,2.59
32,32,64,4,2.14
32,32,64,5,1.63
32,32,64,6,2.05
32,32,64,7,0.58
32,32,64,8,2.14
32,32,64,9,2.80
32,32,64,10,1.53
