min,max,nb threads
0,993,2
0,1943,2
0,1200,2
0,951,2
0,1970,2
0,1741,2
0,1130,2
0,383,2
0,768,2
0,984,2
0,823,4
0,461,4
0,693,4
0,723,4
0,378,4
0,791,4
0,743,4
0,411,4
0,353,4
0,305,4
0,358,8
0,474,8
0,539,8
0,448,8
0,410,8
0,602,8
0,347,8
0,593,8
0,443,8
0,515,8
0,330,16
0,582,16
0,380,16
0,397,16
0,337,16
0,297,16
0,348,16
0,409,16
0,436,16
0,542,16
0,314,32
0,577,32
0,436,32
0,523,32
0,446,32
0,349,32
0,264,32
0,293,32
0,364,32
0,264,32
0,382,64
0,321,64
0,198,64
0,188,64
0,350,64
0,397,64
0,268,64
0,239,64
0,260,64
0,292,64
